ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
153,02 38 20.97,+42 29 13.4,1.2,-0.94,0.02,0.02,13.08,     ,     ,0,02 41 34.19,+42 42 01.1
154,02 38 21.25,+42 39 17.3,0.36,-0.18,0.4,0.15,15.92,1.31,1.18,7,02 41 34.71,+42 52 05.0
155,02 38 21.28,+42 33 05.1,0.08,0.01,0.02,0.01,12.95,0.59,0.52,95,02 41 34.59,+42 45 52.8
156,02 38 21.58,+42 44 19.1,-0.01,-0.02,0.01,0.02,11.82,0.56,0.46,99,02 41 35.15,+42 57 06.8
157,02 38 21.76,+42 44 52.8,-0.13,-0.18,0.29,0.14,15.95,1.39,1.15,31,02 41 35.35,+42 57 40.5
158,02 38 22.01,+42 28 15.6,0.03,0.04,0.09,0.03,14.59,0.84,0.89,86,02 41 35.21,+42 41 03.3
159,02 38 22.02,+42 20 44.0,-0.14,-0.22,0.04,0.04,14.07,0.91,0.86,0,02 41 35.05,+42 33 31.7
160,02 38 22.10,+42 30 14.3,0.15,0.54,0.12,0.06,14.81,0.52,0.43,0,02 41 35.35,+42 43 02.0
161,02 38 22.25,+42 18 16.5,-0.14,0.57,0.19,0.22,14.99,0.54,0.51,0,02 41 35.22,+42 31 04.2
162,02 38 22.58,+42 24 25.5,0.44,0.7,0.05,0.04,14.38,     ,     ,0,02 41 35.70,+42 37 13.1
163,02 38 22.68,+42 25 33.6,1.68,-0.1,0.12,0.17,15.13,     ,     ,0,02 41 35.82,+42 38 21.2
164,02 38 22.73,+42 43 58.0,-0.04,0.91,0.05,0.04,14.21,0.59,0.52,0,02 41 36.30,+42 56 45.6
165,02 38 22.97,+42 21 47.5,0.01,0.01,0.02,0.02,12.83,0.62,0.62,99,02 41 36.03,+42 34 35.1
166,02 38 23.11,+42 18 16.0,-0.78,0.13,0.02,0.02,12.52,     ,     ,0,02 41 36.09,+42 31 03.6
167,02 38 23.16,+42 37 33.3,-0.09,-0.12,0.07,0.09,14.53,0.87,0.8,44,02 41 36.58,+42 50 20.9
168,02 38 23.19,+42 32 19.6,-0.33,-0.02,0.28,0.31,15.92,0.85,0.77,7,02 41 36.49,+42 45 07.2
