ID Number,X Position,Y Position,B,Sigma 1 B,Sigma 2 B,V,Sigma 1 V,Sigma 2 V,R,Sigma 1 R,Sigma 2 R,I,Sigma 1 I,Sigma 2 I,nB,nV,nR,nI,RA,Declination ,,,,,,
503912,1999.65,2565.36,12.666,0.017,0,12.063,0.024,0,11.726,0.024,0,11.351,0.032,0,2,2,2,1,40.11018,42.57136,2,40,26.44,42,34,16.9
501974,2381.46,880.19,12.518,0.018,0,12.068,0.018,0,11.791,0.019,0,11.511,0.018,0,2,3,2,2,40.54579,42.51031,2,42,10.99,42,30,37.1
501419,2085.65,208.48,13.17,0.016,0,12.096,0.019,0,11.478,0.019,0,10.964,0.026,0,3,2,2,1,40.71572,42.57016,2,42,51.77,42,34,12.6
503611,2781.77,2366.78,99.999,9.999,9.999,12.121,0.021,0,11.577,0.021,0,11.046,0.029,0,0,2,2,1,40.1685,42.42501,2,40,40.44,42,25,30
4704,553.29,770,12.877,0.01,0.009,12.136,0.01,0.003,11.724,0.018,0,11.367,0.022,0,8,10,2,1,40.55901,42.85638,2,42,14.16,42,51,23
501904,-507.87,791.74,12.655,0.018,0,12.143,0.019,0,11.819,0.018,0,11.497,0.017,0,2,2,2,2,40.54458,43.05674,2,42,10.7,43,3,24.3
6978,1136.78,1142.98,12.695,0.008,0.017,12.191,0.008,0.011,11.908,0.009,0.033,11.63,0.012,0.008,12,18,9,6,40.46784,42.74385,2,41,52.28,42,44,37.8
7432,1426.73,1223.34,12.816,0.01,0.002,12.192,0.01,0.001,11.837,0.019,0,11.491,0.024,0,9,15,2,2,40.44965,42.68856,2,41,47.92,42,41,18.8
502633,2206.52,1482.05,12.795,0.018,0,12.211,0.023,0,11.865,0.035,0,11.492,0.026,0,1,2,1,2,40.38997,42.53959,2,41,33.59,42,32,22.5
501505,2068.24,304.51,12.746,0.018,0,12.233,0.018,0,11.917,0.019,0,11.596,0.018,0,2,2,2,2,40.69094,42.5729,2,42,45.83,42,34,22.4
405,1526.8,64.16,13.493,0.011,0.003,12.234,0.01,0.004,11.607,0.031,0,10.981,0.025,0,8,14,1,1,40.74848,42.67657,2,42,59.63,42,40,35.7
10986,1354.87,1872.73,13.395,0.01,0.005,12.246,0.01,0.002,11.636,0.02,0,11.09,0.029,0,10,12,2,1,40.28205,42.69792,2,41,7.69,42,41,52.5
504467,2312.49,2957.01,99.999,9.999,9.999,12.252,0.028,0,12.124,0.022,0,11.891,0.024,0,0,1,2,2,40.01279,42.50946,2,40,3.07,42,30,34.1
501231,1483.91,1.76,12.725,0.017,0,12.267,0.018,0,11.969,0.019,0,11.673,0.019,0,3,2,2,2,40.76419,42.68503,2,43,3.41,42,41,6.1
502501,1903.06,1359.23,12.381,0.018,0,12.277,0.022,0,11.766,0.022,0,11.577,0.025,0,2,2,2,2,40.41885,42.59771,2,41,40.52,42,35,51.7
504122,-398.14,2703.3,13.313,0.02,0,12.281,0.019,0,11.739,0.019,0,11.234,0.035,0,2,2,2,1,40.05135,43.02331,2,40,12.32,43,1,23.9
503908,2638.62,2563.6,99.999,9.999,9.999,12.284,0.022,0,11.905,0.019,0,11.495,0.025,0,0,2,2,2,40.11675,42.45067,2,40,28.02,42,27,2.4
502808,2171.67,1660.36,12.791,0.018,0,12.287,0.023,0,12.003,0.022,0,11.618,0.038,0,2,2,2,1,40.34393,42.54502,2,41,22.54,42,32,42.1
8702,1289.36,1449.92,13.37,0.01,0.001,12.297,0.011,0.002,11.719,0.019,0,11.189,0.026,0,9,14,2,2,40.3902,42.71307,2,41,33.65,42,42,47.1
500227,1022.99,-705.46,12.849,0.035,0,12.324,0.02,0,12.036,0.019,0,11.773,0.035,0,1,1,2,1,40.94278,42.77594,2,43,46.27,42,46,33.4
504437,1195.87,2929.03,13.587,0.023,0,12.326,0.031,0,11.615,0.027,0,99.999,9.999,9.999,1,1,1,0,40.00891,42.72058,2,40,2.14,42,43,14.1
6708,863.85,1094.93,12.887,0.009,0.005,12.337,0.009,0.002,11.997,0.009,0.004,11.666,0.009,0.009,12,18,9,13,40.47789,42.79571,2,41,54.69,42,47,44.6
3456,1010.44,564.71,12.857,0.01,0.008,12.346,0.01,0.005,12.035,0.011,0.005,11.717,0.01,0.006,8,16,8,12,40.61564,42.77124,2,42,27.75,42,46,16.5
8868,1824.77,1482.16,12.897,0.011,0.004,12.35,0.01,0.002,12.017,0.011,0.002,11.703,0.027,0,8,15,8,2,40.3866,42.61171,2,41,32.78,42,36,42.2
2542,1319.56,410.21,12.882,0.01,0.002,12.35,0.01,0.008,12.025,0.012,0.001,11.707,0.019,0,9,14,5,2,40.65787,42.71374,2,42,37.89,42,42,49.5
500239,2031.77,-695.45,13.359,0.018,0,12.355,0.018,0,11.787,0.019,0,11.263,0.019,0,2,2,2,2,40.94734,42.58527,2,43,47.36,42,35,7
3021,1886.35,485.24,12.988,0.01,0.007,12.365,0.01,0.006,12,0.011,0.005,11.64,0.011,0.015,9,15,6,10,40.64311,42.60621,2,42,34.35,42,36,22.4
503230,1367.12,2122.96,12.994,0.017,0,12.387,0.022,0,12.034,0.022,0,11.691,0.026,0,2,2,2,2,40.21783,42.69392,2,40,52.28,42,41,38.1
502756,-230.36,1608.52,12.87,0.019,0,12.412,0.021,0,12.103,0.022,0,11.782,0.019,0,2,2,2,2,40.33583,42.99915,2,41,20.6,42,59,56.9
502410,2465.84,1279.14,13.281,0.017,0,12.416,0.021,0,11.948,0.019,0,11.497,0.025,0,2,2,3,2,40.44424,42.49189,2,41,46.62,42,29,30.8
502874,-210.42,1719.85,13.016,0.019,0,12.416,0.019,0,12.059,0.02,0,11.69,0.019,0,2,2,2,2,40.30725,42.99465,2,41,13.74,42,59,40.7
500575,-1.01,-474.65,99.999,9.999,9.999,12.425,0.018,0,12.12,0.018,0,11.803,0.016,0,0,2,2,3,40.87588,42.96821,2,43,30.21,42,58,5.6
5638,1358.61,918.41,12.98,0.01,0.001,12.449,0.01,0.007,12.117,0.011,0.004,11.789,0.01,0.004,9,17,9,13,40.52748,42.70333,2,42,6.6,42,42,12
502594,2324.45,1445.23,12.976,0.018,0,12.457,0.021,0,12.197,0.022,0,11.838,0.025,0,2,2,2,2,40.40044,42.51755,2,41,36.11,42,31,3.2
5492,866.94,897.79,12.97,0.01,0.005,12.461,0.009,0.009,12.149,0.009,0.013,11.846,0.009,0.007,9,18,11,15,40.52869,42.79635,2,42,6.88,42,47,46.8
502142,-364.68,1033.88,13.179,0.021,0,12.485,0.013,0.039,12.089,0.015,0.005,11.69,0.013,0.02,2,4,4,4,40.48317,43.0282,2,41,55.96,43,1,41.5
5564,578.3,908.14,13.054,0.009,0.008,12.512,0.009,0.006,12.19,0.009,0.013,11.879,0.009,0.007,11,19,11,15,40.5236,42.85082,2,42,5.66,42,51,2.9
7232,1675.35,1189.93,13.945,0.009,0.009,12.535,0.009,0.007,11.794,0.014,0.018,11.119,0.019,0.028,13,19,4,2,40.46037,42.6418,2,41,50.49,42,38,30.5
4285,958.06,705.82,13.134,0.01,0.001,12.547,0.01,0.001,12.186,0.01,0.002,11.84,0.01,0.005,10,17,9,13,40.57888,42.78029,2,42,18.93,42,46,49.1
501797,-604.18,668.02,13.686,0.016,0,12.558,0.029,0,11.973,0.018,0,11.422,0.017,0,2,1,2,2,40.57579,43.07569,2,42,18.19,43,4,32.5
501143,896.41,-78.52,13.893,0.016,0,12.575,0.018,0,11.838,0.018,0,11.175,0.018,0,3,2,2,2,40.78039,42.79648,2,43,7.29,42,47,47.3
500523,1323.33,-511.23,13.069,0.02,0,12.578,0.019,0,12.242,0.019,0,11.919,0.018,0,2,2,2,2,40.89494,42.71816,2,43,34.78,42,43,5.4
11727,918.08,2014.97,13.151,0.01,0.001,12.579,0.01,0.001,12.229,0.01,0,11.892,0.01,0.001,9,17,9,15,40.24145,42.77948,2,40,57.95,42,46,46.1
7525,746.98,1239.17,13.12,0.011,0.001,12.584,0.01,0.001,12.261,0.011,0.001,11.952,0.011,0.007,7,17,8,15,40.43973,42.81688,2,41,45.53,42,49,0.8
501287,2267.15,49.63,13.504,0.016,0,12.593,0.018,0,12.1,0.022,0,99.999,9.999,9.999,3,2,2,0,40.75787,42.53676,2,43,1.89,42,32,12.4
500741,245.65,-359.07,13.156,0.018,0,12.593,0.018,0,12.281,0.018,0,11.943,0.017,0,2,2,3,3,40.84785,42.92098,2,43,23.48,42,55,15.5
1689,626.12,275.36,13.262,0.01,0.004,12.604,0.01,0.006,12.214,0.011,0.009,11.836,0.01,0.004,8,14,9,13,40.68711,42.84555,2,42,44.91,42,50,44
503895,-319.58,2556.55,13.332,0.021,0,12.647,0.02,0,12.254,0.019,0,11.861,0.02,0,2,2,2,2,40.09004,43.00952,2,40,21.61,43,0,34.3
11810,826.97,2027.03,13.645,0.01,0,12.647,0.01,0.004,12.071,0.011,0,11.574,0.018,0,10,16,8,2,40.23751,42.79661,2,40,57,42,47,47.8
10705,1001.88,1824.33,13.197,0.009,0.006,12.663,0.009,0.003,12.34,0.009,0.007,12.023,0.009,0.004,11,15,11,17,40.2913,42.76493,2,41,9.91,42,45,53.7
503129,-69.31,2035.71,12.98,0.027,0,12.67,0.019,0,12.501,0.024,0,12.279,0.019,0,1,2,2,2,40.22696,42.96587,2,40,54.47,42,57,57.1
500527,-277.78,-508.09,99.999,9.999,9.999,12.68,0.023,0,12,0.019,0,11.371,0.018,0,0,1,1,2,40.88249,43.02069,2,43,31.8,43,1,14.5
504080,1479.55,2675.44,13.266,0.017,0,12.683,0.021,0,12.313,0.019,0,11.974,0.027,0,2,2,2,2,40.07689,42.66883,2,40,18.45,42,40,7.8
