  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.304228        2     1    0.426295        1       1331.71         42.7057  40.4167    40.01       41        2     20.6       42       42  12.314  10.118        0.036    0.597705           0.035        0.027   0.719772      1.024  10.671  11.29         0.017   502487        0        5.23943            0            0       2.92951         0           1348.35
   1   0.308506        1     1    0.429986        1         52.45         42.9425  40.215     51.6        40        2     33.1       56       42  11.65   10.943        0.032   -0.0939865          0.026        0.03    0.0274941     0.336  11.155  11.314        0.026   503189        0        0.218929           0            0       2.95351         0           2086.4
   1   0.30957         1     1    0.43091         1       1282.35         42.7158  40.4462    47.09       41        2     56.8       42       42  11.561  10.879        0.035   -0.18991            0.036        0.031  -0.0685699     0.241  11.067  11.32         0.024   502365        0       -0.487209           0            0       2.95951         0           1231.91
   1   0.31783         2     1    0.438154        1       2113.45         42.5517  40.1775    42.6        40        2      6         33       42  11.809  10.625        0.036    0.00384606         0.03         0.031   0.12417       0.442  10.963  11.367        0.018   503509        0        1.0261             0            0       3.00651         0           2307.21
   1   0.318875        1     1    0.43908         1       1395.19         42.7001  40.6888    45.31       42        2      0.5       42       42  11.736  10.984        0.03    -0.0760803          0.025        0.027   0.0441247     0.363  11.147  11.373        0.029   501496        0        0.357956           0            0       3.01251         0            292.29
   3   0.320439        3     3    0.440471        2       2346.26         42.5161  40.5105     2.52       42        2     58         30       42  12.118  10.556        0.018    0.295529           0.019        0.017   0.415561      0.736  10.963  11.382        0.013   502123        0.018    3.11941            0.002        0.005   3.02151         0.013       1016.73
   2   0.321132        1     2    0.441089        1        908.16         42.7963  40.8778    30.68       43        2     46.8       47       42  11.773  10.879        0.018   -0.0540889          0.023        0.018   0.0658675     0.387  11.129  11.386        0.022   500604        0        0.538746           0            0       3.02551         0           -456.53
   4   0.321132        2     4    0.441089        2       1064.51         42.7677  40.9248    41.95       43        2      3.8       46       42  12.016  10.665        0.015    0.188911           0.019        0.013   0.308868      0.63   10.999  11.386        0.019   500324        0.021    2.4498             0.048        0.013   3.02551         0.014       -634.47
   1   0.323207        2     1    0.442945        1       2546.96         42.4686  40.1395    33.48       40        2      7.1       28       42  11.849  10.808        0.036    0.00805496         0.028        0.028   0.127793      0.451  11.132  11.398        0.017   503762        0        1.0606             0            0       3.03751         0           2471.29
   2   0.328017        2     1    0.447284        1        697.14         42.8214  40.2468    59.22       40        2     17.1       49       42  12.054  10.706        0.031    0.180716           0.025        0.022   0.299983      0.628  11.07   11.426        0.018   503089        0        2.38325            0            0       3.06551         0           1986.43
   1   0.334645        1     1    0.453351        1       1281.4          42.7247  40.8289    18.95       43        2     29         43       42  11.795  11.06         0.031   -0.123351           0.025        0.025  -0.00464496    0.33   11.266  11.465        0.027   500902        0       -0.0289427          0            0       3.10451         0           -255.95
   3   0.334645        4     2    0.453351        2       1610.37         42.6549  40.4953    58.86       41        2     17.8       39       42  11.751  11.043        0.023   -0.167351           0.02         0.016  -0.048645      0.286  11.25   11.465        0.013   502164        0.002   -0.363286           0.007        0       3.10451         0.01        1052
   1   0.335489        2     1    0.454131        1       2279.55         42.5365  40.8531    24.73       43        2     11.3       32       42  11.85   10.859        0.03    -0.0741311          0.025        0.025   0.0445112     0.38   11.138  11.47         0.018   500811        0        0.369051           0            0       3.10951         0           -321.11
   1   0.335826        1     1    0.454443        2        706.28         42.8298  40.6628    39.08       42        2     47.4       49       42  11.88   11.003        0.03    -0.0464433          0.02         0.025   0.0721741     0.408  11.23   11.472        0.022   501556        0        0.600287           0            0       3.11151         0            372.05
   2   0.3365          5     2    0.455068       16       1139.19         42.7475  40.6441    34.58       42        2     51.2       44       42  11.847  11.095        0.022   -0.0840678          0.009        0.018   0.0345004     0.371  11.29   11.476        0.013     2847        0.023    0.286763           0.009        0.004   3.11551         0.015        458.16
   3   0.346012        2     3    0.464008        2        518.52         42.8606  40.4618    50.84       41        2     38.3       51       42  11.859  11.093        0.017   -0.138008           0.018        0.016  -0.0200119     0.326  11.31   11.533        0.017   502270        0.024   -0.150592           0.006        0.009   3.17251         0.005       1145.73
   0   0.346177        2     1    0.464165        1        428.91         42.8801  40.5688    16.5        42        2     48.5       52       42  11.84   99.999        0.034   -0.158165           0.03         9.999  -0.0401773     0.306  11.293  11.534        0.018   501854        0       -0.305878           9.999        0       3.17351         0            728.25
   1   0.346508        2     1    0.46448         1       1252.77         42.7152  40.2059    49.43       40        2     54.8       42       42  11.996  10.964        0.036   -0.00448045         0.029        0.028   0.113492      0.46   11.247  11.536        0.017   503308        0        0.952763           0            0       3.17551         0           2165.05
   1   0.348159        2     1    0.466058        1       1887.5          42.5948  40.1906    45.73       40        2     41.1       35       42  11.808  10.939        0.035   -0.204058           0.029        0.032  -0.0861592     0.262  11.205  11.546        0.018   503431        0       -0.642885           0            0       3.18551         0           2248.02
   1   0.360884        1     1    0.478465        1       2311.85         42.5245  40.5895    21.47       42        2     28.2       31       42  12.006  11.102        0.03    -0.0964653          0.025        0.026   0.0211157     0.382  11.36   11.624        0.019   501834        0        0.18112            0            0       3.26351         0            707.59
   2   0.369869        2     2    0.487497        1       2114.87         42.5647  40.7195    52.69       42        2     53         33       42  12.001  11.24         0.018   -0.166497           0.02         0.019  -0.0488689     0.321  11.449  11.68         0.019   501405        0       -0.384739           0            0       3.31951         0            194.51
