  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
  16   1.63272         0     7    0.54246         1       1804.21         42.6211  40.6168    28.03       42        2     16.1       37       42  99.999  18.504        0.026   79.5955             0.059        0.019  78.5053       80.138  19.106  19.861        9.999   501733        9.999    4.35872e+22        0.016        0.025  11.5005          0            585.21
   2   1.63259         0     2    0.538545        1       -600.98         43.0638  40.1297    31.13       40        2     49.8        3       43  99.999  18.279        0.04    79.5985             0.082        0.037  78.5044       80.137  19.066  19.862        9.999   503653        9.999    4.35811e+22        0            0      11.5015          0           2392.58
   2   1.63246         0     2    0.534619        1       2632.19         42.4698  40.8525    24.61       43        2     11.2       28       42  99.999  18.008        0.037   79.6014             0.065        0.03   78.5035       80.136  18.84   19.863        9.999   500828        9.999    4.35751e+22        0            0      11.5025          0           -308.94
   2   1.63246         0     2    0.534619        1       1847.47         42.5979  40.0292     7          40        2     52.4       35       42  99.999  18.505        0.049   79.6014             0.057        0.036  78.5035       80.136  19.242  19.863        9.999   504379        9.999    4.35751e+22        0            0      11.5025          0           2875.3
   2   1.63246         0     1    0.534619        1        777.45         42.8007  40.0435    10.44       40        2      2.6       48       42  99.999  18.994        0.053   79.6014             0.087        0.05   78.5035       80.136  19.475  19.863        9.999   504221        9.999    4.35751e+22        0            0      11.5025          0           2778.58
  16   1.63246         0     7    0.534619        1       1669.53         42.6395  40.3248    17.96       41        2     22.2       38       42  99.999  17.84         0.022   79.6014             0.077        0.013  78.5035       80.136  18.896  19.863        9.999   502872        9.999    4.35751e+22        0.011        0.003  11.5025          0           1717.38
   0   1.63233         1     1    0.530683        1       -110.05         42.9713  40.1406    33.75       40        2     16.6       58       42  19.916  99.999        0.078   -0.478683           0.06         9.999  -1.58033       0.052  20.006  19.864        0.081   503614        0      -13.0488             9.999        0      11.5035          0           2368.62
   2   1.6322          0     2    0.526735        1       2665.42         42.4489  40.2376    57.02       40        2     55.9       26       42  99.999  18.368        0.052   79.6073             0.086        0.048  78.5018       80.134  19.097  19.865        9.999   503196        9.999    4.3563e+22         0            0      11.5045          0           2092.71
   2   1.63206         0     1    0.522776        1       2060.23         42.5785  40.8811    31.46       43        2     42.7       34       42  99.999  18.891        0.05    79.6102             0.068        0.051  78.5009       80.133  19.317  19.866        9.999   500634        9.999    4.3557e+22         0            0      11.5055          0           -436.63
   3   1.63206         0     2    0.522776        1       2616.89         42.4671  40.6032    24.78       42        2      1.7       28       42  99.999  17.716        0.029   79.6102             0.068        0.027  78.5009       80.133  18.872  19.866        9.999   501794        9.999    4.3557e+22         0            0      11.5055          0            663.58
   2   1.63193         0     2    0.518807        1       2086.92         42.5532  40.0517    12.4        40        2     11.6       33       42  99.999  17.839        0.05    79.6132             0.068        0.025  78.5001       80.132  18.943  19.867        9.999   504249        9.999    4.35509e+22        0            0      11.5065          0           2796.72
  14   1.63193         0     1    0.518807        1        881.17         42.7879  40.295     10.8        41        2     16.3       47       42  99.999  18.759        0.09    79.6132             0.088        0.022  78.5001       80.132  19.424  19.867        9.999   502946        9.999    4.35509e+22        0.015        0      11.5065          0           1805.71
  11   1.63193         0     1    0.518807        1       1370.7          42.7059  40.7394    57.44       42        2     21.2       42       42  99.999  18.592        0.057   79.6132             0.076        0.027  78.5001       80.132  19.356  19.867        9.999   501323        9.999    4.35509e+22        0            0      11.5065          0             94.99
  16   1.63179         0     7    0.514827        1       1869.99         42.6042  40.4292    43.01       41        2     15.2       36       42  99.999  17.804        0.028   79.6162             0.068        0.014  78.4992       80.131  18.819  19.868        9.999   502454        9.999    4.35449e+22        0.02         0.053  11.5075          0           1317.69
  13   1.63179         0     6    0.514827        1       1896.38         42.5955  40.2808     7.39       41        2     43.7       35       42  99.999  18.895        0.033   79.6162             0.083        0.024  78.4992       80.131  19.361  19.868        9.999   503026        9.999    4.35449e+22        0.001        0.056  11.5075          0           1896.72
   1   1.63179         0     1    0.514827        1       2572.5          42.4789  40.7508     0.19       43        2     43.9       28       42  99.999  19.042        0.053   79.6162             0.065        0.068  78.4992       80.131  19.47   19.868        9.999   501316        9.999    4.35449e+22        0            0      11.5075          0             86.33
   2   1.63165         0     1    0.510835        1       2693.36         42.4492  40.4582    49.96       41        2     57.1       26       42  99.999  18.023        0.037   79.6192             0.059        0.033  78.4983       80.13   18.959  19.869        9.999   502366        9.999    4.35389e+22        0            0      11.5085          0           1232.32
  13   1.63151         0     7    0.506833        1       1074.91         42.7613  40.7157    51.77       42        2     40.7       45       42  99.999  18.837        0.024   79.6222             0.075        0.02   78.4975       80.129  19.346  19.87         9.999   501393        9.999    4.35328e+22        0.031        0.024  11.5095          0            178.04
   2   1.63137         0     2    0.502819        1       2693.79         42.4598  40.9344    44.27       43        2     35.3       27       42  99.999  17.569        0.037   79.6252             0.097        0.029  78.4966       80.128  18.911  19.871        9.999   500337        9.999    4.35268e+22        0            0      11.5105          0           -626.97
   2   1.63109         0     2    0.494759        1       2115.83         42.5677  40.8647    27.54       43        2      3.6       34       42  99.999  18.109        0.037   79.6312             0.071        0.034  78.4949       80.126  18.996  19.873        9.999   500718        9.999    4.35147e+22        0            0      11.5125          0           -371.3
   2   1.63094         0     2    0.490713        1       2172.02         42.5426  40.2527     0.66       41        2     33.3       32       42  99.999  18.991        0.047   79.6343             0.072        0.052  78.4941       80.125  19.494  19.874        9.999   503111        9.999    4.35087e+22        0            0      11.5135          0           2015.93
  18   1.63079         0     8    0.486655        1       1048.15         42.7584  40.3783    30.78       41        2     30.2       45       42  99.999  18.523        0.023   79.6373             0.076        0.016  78.4932       80.124  19.155  19.875        9.999   502640        9.999    4.35027e+22        0.029        0.026  11.5145          0           1488.1
   1   1.63079         0     1    0.486655        1        -39.52         42.9752  40.8637    27.28       43        2     30.9       58       42  99.999  18.838        0.059   79.6373             0.099        0.049  78.4932       80.124  19.317  19.875        9.999   500646        9.999    4.35027e+22        0            0      11.5145          0           -428.46
   2   1.63049         0     2    0.478506        1       1953.24         42.5812  40.1472    35.34       40        2     52.2       34       42  99.999  17.134        0.027   79.6435             0.053        0.023  78.4915       80.122  18.601  19.877        9.999   503693        9.999    4.34906e+22        0            0      11.5165          0           2419.16
   3   1.63049         0     2    0.478506        1       1701.66         42.6439  40.7679     4.31       43        2     38.1       38       42  99.999  17.441        0.031   79.6435             0.054        0.026  78.4915       80.122  18.798  19.877        9.999   501223        9.999    4.34906e+22        0            0      11.5165          0             -6.4
   1   1.63049         0     1    0.478506        1         65.99         42.94    40.216     51.84       40        2     24         56       42  99.999  18.875        0.088   79.6435             0.101        0.092  78.4915       80.122  19.392  19.877        9.999   503183        9.999    4.34906e+22        0            0      11.5165          0           2083.1
   2   1.63034         0     1    0.474415        1        808.01         42.795   40.0462    11.09       40        2     42         47       42  99.999  17.965        0.045   79.6466             0.085        0.028  78.4907       80.121  18.908  19.878        9.999   504208        9.999    4.34846e+22        0            0      11.5175          0           2769.19
   1   1.63019         0     1    0.470312        1       1972.65         42.5799  40.2378    57.08       40        2     47.7       34       42  99.999  19.01         0.071   79.6497             0.067        0.063  78.4898       80.12   19.477  19.879        9.999   503159        9.999    4.34786e+22        0            0      11.5185          0           2066.84
  18   1.63019         0    10    0.470312        1        623.42         42.8416  40.4951    58.83       41        2     29.8       50       42  99.999  18.182        0.019   79.6497             0.096        0.014  78.4898       80.12   18.949  19.879        9.999   502127        9.999    4.34786e+22        0.033        0.027  11.5185          0           1020.17
   2   1.63003         0     2    0.466199        1       1646.4          42.6404  40.1911    45.86       40        2     25.4       38       42  99.999  18.667        0.042   79.6528             0.053        0.037  78.489        80.119  19.144  19.88         9.999   503420        9.999    4.34725e+22        0            0      11.5195          0           2237.18
   1   1.62988         0     1    0.462074        1        158.72         42.9218  40.1921    46.1        40        2     18.5       55       42  99.999  19.106        0.059   79.6559             0.082        0.058  78.4881       80.118  19.514  19.881        9.999   503335        9.999    4.34665e+22        0            0      11.5205          0           2179.12
   2   1.62956         0     2    0.45379         1        786.36         42.7998  40.0708    16.99       40        2     59.2       47       42  99.999  17.829        0.04    79.6622             0.086        0.026  78.4864       80.116  18.905  19.883        9.999   504075        9.999    4.34545e+22        0            0      11.5225          0           2672.92
   1   1.62956         0     1    0.45379         1       2710.24         42.4494  40.5996    23.9        42        2     57.8       26       42  99.999  18.776        0.078   79.6622             0.099        0.089  78.4864       80.116  19.593  19.883        9.999   501810        9.999    4.34545e+22        0            0      11.5225          0            680.78
   1   1.62956         0     1    0.45379         1         21.53         42.9529  40.392     34.07       41        2     10.5       57       42  99.999  18.968        0.056   79.6622             0.073        0.067  78.4864       80.116  19.438  19.883        9.999   502548        9.999    4.34545e+22        0            0      11.5225          0           1399.9
  17   1.6294          0     9    0.449631        1       1259.31         42.7262  40.7068    49.64       42        2     34.5       43       42  99.999  16.988        0.019   79.6654             0.081        0.012  78.4856       80.115  18.596  19.884        9.999   501430        9.999    4.34484e+22        0.004        0.03   11.5235          0            218.06
   2   1.6294          0     1    0.449631        1        779.79         42.8078  40.3263    18.31       41        2     28.2       48       42  99.999  19.027        0.053   79.6654             0.09         0.065  78.4856       80.115  19.544  19.884        9.999   502833        9.999    4.34484e+22        0            0      11.5235          0           1680.72
   3   1.6294          0     2    0.449631        1       -145.02         42.9745  40.0192     4.61       40        2     28.3       58       42  99.999  17.759        0.032   79.6654             0.085        0.027  78.4856       80.115  18.858  19.884        9.999   504309        9.999    4.34484e+22        0            0      11.5235          0           2837.34
   2   1.6294          0     2    0.449631        1       2447.67         42.5072  40.978     54.73       43        2     26.1       30       42  99.999  18.495        0.043   79.6654             0.099        0.045  78.4856       80.115  19.135  19.884        9.999   500077        9.999    4.34484e+22        0            0      11.5235          0           -803.71
   2   1.62924         0     1    0.445461        1       2185.75         42.5357  40.0943    22.63       40        2      8.6       32       42  99.999  18.955        0.053   79.6685             0.072        0.042  78.4848       80.114  19.408  19.885        9.999   504024        9.999    4.34424e+22        0            0      11.5245          0           2634.28
  12   1.62907         0     5    0.441279        1        952.71         42.7746  40.3044    13.06       41        2     28.4       46       42  99.999  18.827        0.027   79.6717             0.077        0.023  78.4839       80.113  19.271  19.886        9.999   502921        9.999    4.34364e+22        0.045        0.011  11.5255          0           1771.71
   2   1.62874         0     2    0.432882        1       -587.92         43.0692  40.4347    44.32       41        2      9.3        4       43  99.999  17.115        0.032   79.6781             0.066        0.022  78.4823       80.111  18.558  19.888        9.999   502349        9.999    4.34244e+22        0            0      11.5275          0           1214.07
  14   1.62857         0     1    0.428666        1        266.53         42.9034  40.2657     3.76       41        2     12.1       54       42  99.999  18.244        0.083   79.6813             0.101        0.022  78.4814       80.11   19.334  19.889        9.999   503028        9.999    4.34183e+22        0.006        0      11.5285          0           1897.7
   1   1.62857         0     1    0.428666        1       1883.43         42.6066  40.6365    32.77       42        2     23.8       36       42  99.999  19.067        0.056   79.6813             0.065        0.058  78.4814       80.11   19.723  19.889        9.999   501670        9.999    4.34183e+22        0            0      11.5285          0            510.71
   1   1.62857         0     1    0.428666        1       -675            43.0872  40.4978    59.46       41        2     14.1        5       43  99.999  18.911        0.074   79.6813             0.096        0.058  78.4814       80.11   19.433  19.889        9.999   502064        9.999    4.34183e+22        0            0      11.5285          0            967.25
   1   1.6284          0     2    0.424439        1       1563.19         42.67    40.7647     3.54       43        2     12.2       40       42  99.999  18.909        0.048   79.6846             0.07         0.052  78.4806       80.109  19.379  19.89         9.999   501232        9.999    4.34123e+22        0            0      11.5295          0              1.95
   1   1.6284          0     1    0.424439        1        976.48         42.7732  40.4273    42.54       41        2     23.4       46       42  99.999  19.153        0.056   79.6846             0.081        0.056  78.4806       80.109  19.539  19.89         9.999   502422        9.999    4.34123e+22        0            0      11.5295          0           1295.27
   3   1.62823         0     2    0.4202          1       2376.05         42.5161  40.7553     1.26       43        2     58         30       42  99.999  17.101        0.029   79.6878             0.073        0.024  78.4798       80.108  18.645  19.891        9.999   501299        9.999    4.34063e+22        0            0      11.5305          0             63.01
   2   1.62805         0     1    0.41595         1        926.66         42.7734  40.0751    18.03       40        2     24.1       46       42  99.999  18.849        0.042   79.6911             0.078        0.043  78.4789       80.107  19.288  19.892        9.999   504055        9.999    4.34003e+22        0            0      11.5315          0           2661.38
  16   1.62805         0     7    0.41595         1        672.27         42.8279  40.3167    16.02       41        2     40.6       49       42  99.999  18.02         0.022   79.6911             0.066        0.015  78.4789       80.107  18.854  19.892        9.999   502867        9.999    4.34003e+22        0.026        0.022  11.5315          0           1713.93
   0   1.62788         5     0    0.411688        1        791.26         42.8043  40.2739     5.74       41        2     15.5       48       42  19.793  99.999        9.999   -0.511688           0.091        9.999  -1.72788      -0.1    99.999  19.893        0.043   503015        0.084  -14.7265             9.999        9.999  11.5325          0           1884.39
   2   1.6277          0     1    0.407414        2       1231.61         42.7184  40.1738    41.71       40        2      6.2       43       42  99.999  18.882        0.059   79.6976             0.058        0.053  78.4773       80.105  19.346  19.894        9.999   503481        9.999    4.33883e+22        0            0      11.5335          0           2289.26
   1   1.6277          0     0    0.407414        1        351.36         42.8801  39.9992    59.8        39        2     48.2       52       42  99.999  17.954        9.999   79.6976             0.088        0.032  78.4773       80.105  99.999  19.894        9.999   504445        9.999    4.33883e+22        0            9.999  11.5335          0           2934.29
   2   1.6277          0     2    0.407414        1        718.4          42.8108  40.0036     0.86       40        2     38.7       48       42  99.999  18.621        0.045   79.6976             0.091        0.041  78.4773       80.105  19.136  19.894        9.999   504440        9.999    4.33883e+22        0            0      11.5335          0           2931.37
  17   1.62734         0    10    0.398833        1        531.74         42.8595  40.5195     4.69       42        2     34.3       51       42  99.999  17.701        0.019   79.7042             0.092        0.012  78.4757       80.103  18.821  19.896        9.999   502016        9.999    4.33762e+22        0.007        0.04   11.5355          0            922.38
   2   1.62734         0     2    0.398833        2       2524.3          42.4752  40.2228    53.47       40        2     30.6       28       42  99.999  18.428        0.046   79.7042             0.057        0.034  78.4757       80.103  19.142  19.896        9.999   503270        9.999    4.33762e+22        0            0      11.5355          0           2145.43
   2   1.62716         0     2    0.394524        1        553.08         42.8473  40.1968    47.22       40        2     50.4       50       42  99.999  18.301        0.046   79.7075             0.1          0.042  78.4748       80.102  19.149  19.897        9.999   503327        9.999    4.33702e+22        0            0      11.5365          0           2175.31
   2   1.62697         0     0    0.390205        1       2050.83         42.5765  40.7024    48.57       42        2     35.2       34       42  99.999  18.48         9.999   79.7108             0.09         0.038  78.474        80.101  99.999  19.898        9.999   501464        9.999    4.33642e+22        0            9.999  11.5375          0            259.37
   2   1.62697         0     2    0.390205        1       1839.08         42.6007  40.0714    17.13       40        2      2.4       36       42  99.999  18.659        0.038   79.7108             0.088        0.042  78.474        80.101  19.318  19.898        9.999   504133        9.999    4.33642e+22        0            0      11.5375          0           2710.56
  15   1.62679         0     8    0.385873        1       1608.17         42.6585  40.6267    30.4        42        2     30.4       39       42  99.999  18.46         0.025   79.7141             0.075        0.018  78.4732       80.1    19.091  19.899        9.999   501694        9.999    4.33582e+22        0.029        0.067  11.5385          0            540.55
  16   1.62679         0     3    0.385873        1        990.92         42.7685  40.3515    24.36       41        2      6.8       46       42  99.999  18.686        0.042   79.7141             0.074        0.019  78.4732       80.1    19.39   19.899        9.999   502740        9.999    4.33582e+22        0.021        0.089  11.5385          0           1590.09
   1   1.62679         0     1    0.385873        1       2439.45         42.4999  40.5692    16.62       42        2     59.6       29       42  99.999  17.926        0.053   79.7141             0.069        0.078  78.4732       80.1    18.954  19.899        9.999   501901        9.999    4.33582e+22        0            0      11.5385          0            790.54
   1   1.62679         0     1    0.385873        1       2675.24         42.4642  40.976     54.23       43        2     51         27       42  99.999  18.965        0.052   79.7141             0.076        0.048  78.4732       80.1    19.358  19.899        9.999   500094        9.999    4.33582e+22        0            0      11.5385          0           -789.5
   1   1.6266          0     1    0.381529        1        830.14         42.7941  40.1666    39.98       40        2     38.8       47       42  99.999  19.057        0.081   79.7175             0.062        0.063  78.4724       80.099  19.521  19.9          9.999   503497        9.999    4.33522e+22        0            0      11.5395          0           2302.59
   1   1.62641         0     2    0.377174        1       2761.84         42.4459  40.8818    31.64       43        2     45.1       26       42  99.999  18.68         0.045   79.7208             0.083        0.046  78.4716       80.098  19.259  19.901        9.999   500662        9.999    4.33462e+22        0            0      11.5405          0           -419.67
  15   1.62641         0     6    0.377174        1        658.38         42.8335  40.4335    44.05       41        2      0.6       50       42  99.999  18.735        0.029   79.7208             0.095        0.019  78.4716       80.098  19.237  19.901        9.999   502391        9.999    4.33462e+22        0.015        0.043  11.5405          0           1260.17
   2   1.62622         0     2    0.372807        1       2403.45         42.4968  40.1776    42.62       40        2     48.5       29       42  99.999  18.625        0.051   79.7242             0.071        0.038  78.4708       80.097  19.231  19.902        9.999   503522        9.999    4.33402e+22        0            0      11.5415          0           2317.5
  16   1.62622         0     8    0.372807        1       1945.87         42.5935  40.5794    19.05       42        2     36.5       35       42  99.999  18.376        0.025   79.7242             0.077        0.016  78.4708       80.097  19.043  19.902        9.999   501857        9.999    4.33402e+22        0            0.034  11.5415          0            735.35
   2   1.62583         0     2    0.364038        1       2200.92         42.5474  40.6708    41          42        2     50.5       32       42  99.999  18.263        0.042   79.731              0.08         0.037  78.4692       80.095  18.971  19.904        9.999   501565        9.999    4.33282e+22        0            0      11.5435          0            386.92
   1   1.62564         0     1    0.359636        1        390.73         42.8737  40.0387     9.3        40        2     25.4       52       42  99.999  18.633        0.08    79.7344             0.077        0.058  78.4684       80.094  19.42   19.905        9.999   504228        9.999    4.33221e+22        0            0      11.5445          0           2782.27
   1   1.62564         0     2    0.359636        1       2689.73         42.459   40.8594    26.26       43        2     32.5       27       42  99.999  18.514        0.04    79.7344             0.07         0.056  78.4684       80.094  19.204  19.905        9.999   500780        9.999    4.33221e+22        0            0      11.5445          0           -334.13
  10   1.62544         0     7    0.355222        2       1059.5          42.7633  40.6748    41.95       42        2     47.9       45       42  99.999  18.929        0.03    79.7378             0.065        0.028  78.4676       80.093  19.407  19.906        9.999   501532        9.999    4.33161e+22        0.034        0.037  11.5455          0            336.39
   2   1.62544         0     2    0.355222        1       1364.17         42.6944  40.2133    51.18       40        2     39.7       41       42  99.999  17.875        0.042   79.7378             0.097        0.032  78.4676       80.093  18.844  19.906        9.999   503259        9.999    4.33161e+22        0            0      11.5455          0           2140.66
   1   1.62524         0     1    0.350796        1       2836.4          42.4231  40.4968    59.23       41        2     23.1       25       42  99.999  18.842        0.061   79.7412             0.088        0.054  78.4668       80.092  19.371  19.907        9.999   502201        9.999    4.33101e+22        0            0      11.5465          0           1086.33
   2   1.62504         1     1    0.346358        2       1975.33         42.5761  40.1165    27.95       40        2     34.1       34       42  20.18   19.001        0.073   -0.0743576          0.053        0.047  -1.35304       0.272  19.416  19.908        0.075   503864        0      -11.677              0            0      11.5475          0           2540.01
   2   1.62484         0     2    0.341908        1       -659.36         43.0813  40.3741    29.79       41        2     52.5        4       43  99.999  17.805        0.034   79.7481             0.079        0.026  78.4652       80.09   18.951  19.909        9.999   502595        9.999    4.32981e+22        0            0      11.5485          0           1445.69
   1   1.62484         0     1    0.341908        1       1590.07         42.6595  40.5252     6.06       42        2     34.2       39       42  99.999  18.995        0.051   79.7481             0.072        0.062  78.4652       80.09   19.388  19.909        9.999   502034        9.999    4.32981e+22        0            0      11.5485          0            934.63
  16   1.62484         0     9    0.341908        1       1442.56         42.6823  40.3186    16.46       41        2     56.2       40       42  99.999  18.196        0.021   79.7481             0.061        0.016  78.4652       80.09   18.931  19.909        9.999   502892        9.999    4.32981e+22        0.022        0.024  11.5485          0           1733.7
   2   1.62463         0     1    0.337446        1       1925.18         42.5861  40.1354    32.5        40        2     10.1       35       42  99.999  18.848        0.066   79.7516             0.071        0.044  78.4644       80.089  19.466  19.91         9.999   503751        9.999    4.32921e+22        0            0      11.5495          0           2464.23
   2   1.62443         0     2    0.332972        1       -375.68         43.022   40.1589    38.13       40        2     19.2        1       43  99.999  17.799        0.034   79.755              0.075        0.034  78.4636       80.088  18.774  19.911        9.999   503478        9.999    4.32861e+22        0            0      11.5505          0           2288.03
  10   1.62443         0     2    0.332972        1        724.51         42.8208  40.4262    42.3        41        2     14.9       49       42  99.999  18.904        0.045   79.755              0.063        0.026  78.4636       80.088  19.423  19.911        9.999   502417        9.999    4.32861e+22        0.023        0      11.5505          0           1290.78
   2   1.62422         0     1    0.328486        1         77.65         42.9424  40.3945    34.68       41        2     32.5       56       42  99.999  18.36         0.047   79.7585             0.086        0.038  78.4628       80.087  19.167  19.912        9.999   502538        9.999    4.32801e+22        0            0      11.5515          0           1392.03
   2   1.62359         0     3    0.314956        1       -308.44         43.0183  40.5124     2.98       42        2      5.7        1       43  99.999  19.164        0.036   79.769              0.087        0.039  78.4604       80.084  19.513  19.915        9.999   502015        9.999    4.32621e+22        0.007        0.119  11.5545          0            922.59
   2   1.62337         0     1    0.310421        1       1504.92         42.6836  40.8855    32.51       43        2      1.1       41       42  99.999  18.913        0.055   79.7726             0.065        0.052  78.4596       80.083  19.391  19.916        9.999   500587        9.999    4.32561e+22        0            0      11.5555          0           -469.29
   2   1.62337         0     2    0.310421        1        434.86         42.868   40.1317    31.61       40        2      4.6       52       42  99.999  17.837        0.038   79.7726             0.077        0.028  78.4596       80.083  18.894  19.916        9.999   503698        9.999    4.32561e+22        0            0      11.5555          0           2423.33
  17   1.62316         0     9    0.305875        1        593.44         42.8434  40.338     21.12       41        2     36.2       50       42  99.999  17.995        0.025   79.7761             0.088        0.014  78.4588       80.082  18.932  19.917        9.999   502777        9.999    4.32501e+22        0.013        0.051  11.5565          0           1628.71
   1   1.62316         0     1    0.305875        1       1783.78         42.6116  40.0869    20.86       40        2     41.6       36       42  99.999  18.445        0.08    79.7761             0.09         0.081  78.4588       80.082  18.947  19.917        9.999   504045        9.999    4.32501e+22        0            0      11.5565          0           2647.9
   2   1.62316         0     2    0.305875        1        -75.07         42.9652  40.1615    38.75       40        2     54.8       57       42  99.999  18.08         0.04    79.7761             0.098        0.025  78.4588       80.082  18.972  19.917        9.999   503482        9.999    4.32501e+22        0            0      11.5565          0           2289.18
   1   1.62316         0     1    0.305875        1        542.28         42.8457  40.0613    14.72       40        2     44.5       50       42  99.999  18.992        0.052   79.7761             0.076        0.068  78.4588       80.082  19.671  19.917        9.999   504116        9.999    4.32501e+22        0            0      11.5565          0           2700.35
   2   1.62272         0     1    0.296746        1       -413.09         43.0251  40.0137     3.29       40        2     30.3        1       43  99.999  18.592        0.059   79.7833             0.091        0.045  78.4573       80.08   19.3    19.919        9.999   504332        9.999    4.32381e+22        0            0      11.5585          0           2848.36
   1   1.62272         1     1    0.296746        1       2007.92         42.5724  40.205     49.2        40        2     20.5       34       42  20.289  19.331        0.057    0.0732543          0.051        0.092  -1.25272       0.37   19.568  19.919        0.097   503357        0      -10.9339             0            0      11.5585          0           2196.09
   2   1.6225          0     1    0.292163        1       2789.28         42.4282  40.3417    22.02       41        2     41.3       25       42  99.999  18.692        0.062   79.7868             0.078        0.043  78.4565       80.079  19.213  19.92         9.999   502840        9.999    4.32321e+22        0            0      11.5595          0           1690.3
   2   1.6225          0     2    0.292163        1       2527.28         42.48    40.4325    43.8        41        2     47.9       28       42  99.999  18.758        0.046   79.7868             0.068        0.04   78.4565       80.079  19.285  19.92         9.999   502469        9.999    4.32321e+22        0            0      11.5595          0           1327.09
   1   1.62227         0     2    0.287567        1       -658            43.0844  40.5146     3.5        42        2      3.9        5       43  99.999  18.82         0.045   79.7904             0.07         0.065  78.4557       80.078  19.267  19.921        9.999   501996        9.999    4.32261e+22        0            0      11.5605          0            902.77
   3   1.62205         0     2    0.28296         1       2188.09         42.54    40.2711     5.06       41        2     24.1       32       42  99.999  17.324        0.033   79.794              0.073        0.026  78.455        80.077  18.826  19.922        9.999   503064        9.999    4.32201e+22        0            0      11.5615          0           1944.96
  16   1.62205         0     7    0.28296         1       1526.11         42.6722  40.5497    11.94       42        2     19.8       40       42  99.999  18.455        0.029   79.794              0.056        0.018  78.455        80.077  19.086  19.922        9.999   501941        9.999    4.32201e+22        0.006        0.056  11.5615          0            837.27
   1   1.62182         0     2    0.27834         1        739.05         42.8106  40.1391    33.38       40        2     38.2       48       42  99.999  18.776        0.06    79.7977             0.089        0.06   78.4542       80.076  19.432  19.923        9.999   503672        9.999    4.32142e+22        0            0      11.5625          0           2406.01
  16   1.62159         0     9    0.273708        1       1756.03         42.632   40.6946    46.71       42        2     55.3       37       42  99.999  18.059        0.024   79.8013             0.083        0.014  78.4534       80.075  18.892  19.924        9.999   501486        9.999    4.32082e+22        0.005        0.087  11.5635          0            280.65
   4   1.62136         0     4    0.269064        1       -609.38         43.0752  40.5114     2.73       42        2     30.6        4       43  99.999  18.017        0.029   79.8049             0.088        0.021  78.4526       80.074  19.063  19.925        9.999   502007        9.999    4.32022e+22        0.011        0.007  11.5645          0            916.73
  16   1.62089         0     8    0.259737        1        349.75         42.891   40.3998    35.95       41        2     27.7       53       42  99.999  17.847        0.024   79.8123             0.083        0.013  78.4511       80.072  18.938  19.927        9.999   502524        9.999    4.31902e+22        0.004        0.011  11.5665          0           1380.66
   2   1.62066         0     2    0.255056        2       2440.34         42.4973  40.4665    51.97       41        2     50.1       29       42  99.999  19.057        0.041   79.8159             0.062        0.042  78.4503       80.071  19.503  19.928        9.999   502318        9.999    4.31842e+22        0.028        0.053  11.5675          0.01        1191.34
   1   1.62066         0     0    0.255056        1        -45.03         42.9669  40.4498    47.94       41        2      0.9       58       42  99.999  19.39         9.999   79.8159             0.078        0.091  78.4503       80.071  99.999  19.928        9.999   502304        9.999    4.31842e+22        0            9.999  11.5675          0           1173.84
   1   1.62066         0     1    0.255056        1       -546.2          43.0561  40.2292    55.02       40        2     22.1        3       43  99.999  18.82         0.068   79.8159             0.063        0.064  78.4503       80.071  19.42   19.928        9.999   503108        9.999    4.31842e+22        0            0      11.5675          0           2009.73
   1   1.62042         0     2    0.250362        1       2403.55         42.5071  40.5867    20.8        42        2     25.5       30       42  99.999  19.126        0.045   79.8196             0.081        0.054  78.4496       80.07   19.518  19.929        9.999   501849        9.999    4.31782e+22        0            0      11.5685          0            721.41
   1   1.62042         0     1    0.250362        1       1562.09         42.6719  40.8429    22.29       43        2     18.9       40       42  99.999  18.396        0.063   79.8196             0.083        0.092  78.4496       80.07   19.307  19.929        9.999   500840        9.999    4.31782e+22        0            0      11.5685          0           -301.96
  16   1.61969         0     7    0.236204        1       1880.95         42.6021  40.429     42.96       41        2      7.7       36       42  99.999  18.032        0.023   79.8308             0.074        0.015  78.4473       80.067  18.873  19.932        9.999   502458        9.999    4.31603e+22        0.004        0.079  11.5715          0           1319.02
   3   1.61969         3     4    0.236204        3       1062.24         42.7579  40.465     51.59       41        2     28.3       45       42  20.168  19.286        0.031   -0.000204369        0.044        0.043  -1.38369       0.236  19.52   19.932        0.049   502277        0.055  -11.9577             0.095        0.107  11.5715          0.043       1151.73
  11   1.61969         0     1    0.236204        1        852.65         42.797   40.4448    46.75       41        2     49.3       47       42  99.999  18.914        0.056   79.8308             0.097        0.026  78.4473       80.067  19.467  19.932        9.999   502356        9.999    4.31603e+22        0.029        0      11.5715          0           1223.12
   4   1.61969         0     3    0.236204        1       1095.38         42.7613  40.8972    35.31       43        2     40.7       45       42  99.999  18.178        0.033   79.8308             0.072        0.024  78.4473       80.067  19.015  19.932        9.999   500489        9.999    4.31603e+22        0.003        0.029  11.5715          0           -526.22
